code,description,required_qty,cost,retail
912000025020,F /F2 BVLGARI-831,1,220,400
912000025002,F /F2 BVLGARI-832,3,242.856,500
912000013013,F /F2 BYBLOS-255,1,225,450
912000013011,F /F2 BYBLOS-748,1,230,460
912000013015,F /F2 BYBLOS-753,1,222,580
912000013009,F /F2 BYBLOS-810,1,260,520
912000024030,F /F2 C . K 370,1,275,550
912000024031,F /F2 C . K 415,1,323,640
912000024017,F /F2 C . K-1014,1,250,700
912000024013,F /F2 C . K-197,2,250,700
912000024023,F /F2 C . K-2035,2,195,390
912000024002,F /F2 C . K-2037,1,250,500
912000024006,F /F2 C . K-294,1,420,840
912000003033,F /F2 C.DIOR 3YG,1,57.08,1350
912000003023,F /F2 C.DIOR ADIORABLE3,3,619,1672
912000003029,F /F2 C.DIOR BANDAGE,1,350,930
912000003008,F /F2 C.DIOR HOMME,1,625,1250
912000024033,F /F2 CALVIN KLEIN ITALYF2,7,119.565,680
912000020038,F /F2 CARRERA 5172,1,100,200
912000020039,F /F2 CARRERA 5524,1,100,200
912000020012,F /F2 CARRERA BACK 80S-1,1,275,880
912000020035,F /F2 CARRERA CRYSTAL RIML,23,250,350
912000020052,F /F2 CARRERA ETERNITY,1,155,400
912000020065,F /F2 CARRERA F2,-2,50,350
912000020048,F /F2 CARRERA KITE DRAGON,1,108,490
912000020041,F /F2 CARRERA KOBRA,1,259,775
912000020061,F /F2 CARRERA PDENR,-1,299.07,600
912000005001,F /F2 D&G-6011,1,573,1000
912000005016,F /F2 D&G-8009,1,158.215,450
912000052002,F /F2 D.KARAN 9705,1,425,850
912000042008,F /F2 DANIEL HECHTER 825,5,122,490
912000042009,F /F2 DANIEL HECHTER 826,3,122,490
912000032008,F /F2 DIESEL COVER,1,195,380
912000032011,F /F2 DIESEL PANORAMA,1,171.335,250
912000041030,F /F2 DKNY 5057,1,345,760
912000041037,F /F2 DKNY 5065,1,317,760
912000005008,F /F2 DOLCE GABBANA 6024B,1,219,400
912000010033,F /F2 E.ARMANI 2001,1,440.055,1100
912000010039,F /F2 E.ARMANI 4001,4,380.044285714286,1050
912000016006,F /F2 E.UNGARO ITALY F2,1,42.155,490
912000016003,F /F2 E.UNGARO-3051,3,260,520
912000016004,F /F2 E.UNGARO-4046,1,253,650
912000062004,F /F2 FENDI 485,-1,235,560
912000030001,F /F2 FIDELA TALGO,2,138,250
912000030002,F /F2 FIDELA XANADU & FR,3,96.224,300
912000029025,F /F2 FRED SICILE 8217 C3 ,1,1365,2950
912000011010,F /F2 G.ARMANI 134/S,-2,200,450
912000011011,F /F2 G.ARMANI 663,1,125,250
912000011027,F /F2 G.ARMANI 769/GVS,1,865.8,1920
912000011026,F /F2 G.ARMANI ITALY,5,193.615337078652,960
912000014007,F /F2 GENNY-752,2,240,480
912000034014,F /F2 GUCCI 2452,1,140,420
912000034022,F /F2 GUCCI GG 2545,1,444,450
912000034017,F /F2 GUCCI GG-2551,1,449,500
912000046001,F /F2 HUGO BOSS 11812,1,175,350
912000065001,F /F2 KILLER LOOP 3172,1,153.153333333333,270
912000006001,F /F2 MODO 771,1,208,450
912000043002,F /F2 MORMAII GAROPABA,2,142.9,450
912000068044,F /F2 OAKLEY 9009,3,606.28,1200
912000068040,F /F2 OAKLEY 9013,2,320.41625,700
912000068013,F /F2 OAKLEY 9095,1,508.255,900
912000068052,F /F2 OAKLEY 9097,1,639.195,1300
912000068047,F /F2 OAKLEY 9099,1,679.32,1400
912000068038,F /F2 OAKLEY 9127,-1,482.95,1150
912000069076,F /F2 OAKLEY 9127,1,519.34,1050
912000068060,F /F2 OAKLEY 9136,-1,562,1240
912000068083,F /F2 OAKLEY 9189,1,458.34,950
912000068077,F /F2 OAKLEY 9203,3,381.123333333333,800
912000068005,F /F2 OAKLEY FLAK 9009,-1,494.236363636364,1000
912000004005,F /F2 POLAR MP3-512,1,315,500
912000050052,F /F2 POLO 4071,1,341.995,1020
912000050001,F /F2 POLO BLUE CHIP,1,229,685
912000050007,F /F2 POLO JEANS DISCOVERI,1,399,1200
912000018072,F /F2 PRADA 29L,1,703,1760
912000018091,F /F2 PRADA 50OS,2,779.45,2050
912000018045,F /F2 PRADA 51MS,1,652.47,1580
912000018071,F /F2 PRADA 54NA,-1,483,1250
912000018043,F /F2 PRADA 54NS,1,660,1480
912000018096,F /F2 PRADA SPS05O,2,684.4,1700
912000018014,F /F2 PRADA-04IS,-1,534.95,1390
912000018020,F /F2 PRADA-50GS,-1,250,550
912000018031,F /F2 PRADA-54F,-1,575,1150
912000018001,F /F2 PRADA-60G,1,620,1150
912000050522,F /F2 RALPH LAUREN 3075,1,0,2100
912000059112,F /F2 RAY BAN 2132-JED,1,409.460833333333,600
912000059114,F /F2 RAY BAN 2143,1,465,650
912000059059,F /F2 RAY BAN 3422,-1,547.81,1125
912000059292,F /F2 RAY BAN 3447 OLD,-1,690,950
912000059130,F /F2 RAY BAN 3454,1,197.205,600
912000059131,F /F2 RAY BAN 3455,2,199.185,500
912000059141,F /F2 RAY BAN 3456,1,193.806153846154,400
912000059169,F /F2 RAY BAN 3468,1,198.09475,400
912000059285,F /F2 RAY BAN 3507,-1,571.59,800
912000059286,F /F2 RAY BAN 3521,1,462.4,700
